"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Kiểm tra trang chủ hiển thị đúng trên mobile viewport","","2026-01-28","skipped","2026-01-28","","","",""
"","3895","Kiểm tra trang chủ load thành công","Passion Dental - Trang Chủ","2026-01-28","passed","2026-01-28","","","",""
